id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7813,48.0,240.0,137000000,1625264000000
instance_7814,48.0,200.0,125000000,1819000000
instance_7815,8.0,40.0,1904000000,11257000000
instance_7817,8.0,40.0,2000000,321845000000
instance_7818,12.0,120.0,159000000,3981000000
instance_7819,12.0,120.0,0,18652000000
instance_7820,48.0,240.0,111000000,49786000000
instance_7821,48.0,300.0,0,67822000000
instance_7822,96.0,480.0,0,4362000000
instance_7823,96.0,480.0,1000000,16775000000
instance_7824,96.0,480.0,0,66917000000
instance_7825,96.0,480.0,0,467348000000
instance_7827,64.0,320.0,390000000,15742000000
instance_7828,64.0,320.0,569000000,10993000000
instance_7829,64.0,320.0,511000000,19802000000
instance_7830,64.0,320.0,90000000,55082000000
instance_7831,48.0,240.0,5000000,951000000
instance_7832,64.0,320.0,54000000,22824000000
instance_7834,48.0,240.0,900000000,112321000000
instance_7835,12.0,120.0,758000000,14327000000
instance_7836,64.0,320.0,238000000,20967000000
instance_7837,64.0,320.0,128000000,20795000000
instance_7838,48.0,400.0,0,108583000000
instance_7839,96.0,480.0,0,357475000000
instance_7840,192.0,960.0,473000000,7891000000
instance_7841,64.0,320.0,457000000,2634000000
instance_7842,192.0,960.0,1682000000,32037000000
instance_7843,64.0,320.0,0,145682000000
instance_7844,64.0,320.0,30000000,105248000000
instance_7845,64.0,320.0,90000000,6070000000
instance_7846,64.0,320.0,451000000,5635000000
instance_7847,64.0,320.0,659000000,4301000000
instance_7848,64.0,320.0,30000000,16516000000
instance_7849,64.0,320.0,60000000,46513000000
instance_7850,64.0,320.0,30000000,8676000000
instance_7852,96.0,480.0,2247000000,16557000000
instance_7853,12.0,120.0,209000000,2709000000
instance_7854,48.0,300.0,222000000,943012000000
instance_7855,64.0,320.0,21000000,2597000000
instance_7856,48.0,240.0,0,17555000000
instance_7857,8.0,40.0,427000000,183714000000
instance_7859,192.0,960.0,173000000,14402000000
instance_7860,64.0,320.0,374000000,4867000000
instance_7861,64.0,320.0,0,13154000000
instance_7862,64.0,320.0,0,314293000000
instance_7863,64.0,320.0,0,9368000000
instance_7864,64.0,320.0,0,13154000000
instance_7865,64.0,320.0,449000000,4551000000
instance_7866,64.0,320.0,242000000,8917000000
instance_7867,64.0,320.0,29000000,8537000000
instance_7868,64.0,320.0,60000000,22462000000
instance_7871,64.0,320.0,300000000,8009000000
instance_7872,12.0,120.0,1080000000,2709000000
instance_7873,64.0,320.0,2081000000,452422000000
instance_7874,96.0,480.0,0,177060000000
instance_7875,64.0,320.0,120000000,4852000000
instance_7876,64.0,320.0,0,5125000000
instance_7877,64.0,320.0,0,9898000000
instance_7878,64.0,320.0,0,9037000000
instance_7879,64.0,320.0,32000000,15492000000
instance_7880,48.0,240.0,83000000,638000000
instance_7883,64.0,480.0,599000000,240995000000
instance_7881,64.0,320.0,30000000,8032000000
instance_7882,48.0,240.0,22000000,117037000000
instance_7884,192.0,960.0,128000000,1672547000000
instance_7885,12.0,120.0,296000000,7924000000
instance_7886,12.0,120.0,1000000,15438000000
instance_7887,192.0,960.0,363000000,1109872000000
instance_7889,64.0,320.0,369000000,1005037000000
instance_7890,64.0,320.0,202000000,3604000000
instance_7891,192.0,960.0,93000000,442901000000
instance_7893,64.0,320.0,1312000000,5116000000
instance_7894,96.0,480.0,1000000,4853000000
instance_7895,64.0,320.0,659000000,6321000000
instance_7896,64.0,320.0,61000000,4598000000
instance_7897,64.0,320.0,60000000,4465000000
instance_7898,64.0,320.0,60000000,5135000000
instance_7899,64.0,320.0,29000000,4427000000
instance_7900,64.0,320.0,60000000,4295000000
instance_7901,64.0,320.0,90000000,24520000000
instance_7902,64.0,320.0,30000000,35117000000
instance_7903,64.0,320.0,31000000,9071000000
instance_7904,64.0,320.0,346000000,3870000000
instance_7905,64.0,320.0,1000000,13819000000
instance_7907,64.0,320.0,312000000,3540000000
instance_7908,64.0,320.0,2453000000,5769000000
instance_7909,64.0,320.0,107000000,40145000000
instance_7910,96.0,480.0,1000000,47844000000
instance_7911,12.0,120.0,136000000,3663000000
instance_7912,12.0,120.0,1000000,5429000000
instance_7913,64.0,320.0,253000000,32755000000
instance_7914,64.0,320.0,30000000,7225000000
instance_7915,64.0,320.0,0,7134000000
instance_7916,64.0,320.0,0,27500000000
instance_7917,64.0,320.0,0,31523000000
instance_7918,64.0,320.0,0,8246000000
instance_7921,64.0,320.0,60000000,17030000000
instance_7922,64.0,320.0,0,20517000000
instance_7923,64.0,320.0,0,20683000000
instance_7924,64.0,320.0,0,128151000000
instance_7925,64.0,320.0,26000000,1069180000000
