util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
105.0,8,64,8,1,1,nodes8_pods64_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,169841.0,1698.41,4.751,4.811,0.0475,0.0481
105.0,8,64,8,1,10,nodes8_pods64_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1063696.0,10636.96,5.077,5.152,0.0508,0.0515
105.0,8,64,8,1,20,nodes8_pods64_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2058509.0,20585.09,5.007,5.209,0.0501,0.0521
105.0,8,64,8,2,1,nodes8_pods64_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,5,0.0500,0,0.0000,0,0.0000,95,0.9500,95,0.9500,0,0.0000,171460.0,1714.6,3.76,3.805,0.0376,0.038
105.0,8,64,8,2,10,nodes8_pods64_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,5,0.0500,94,0.9400,99,0.9900,0,0.0000,1027273.0,10272.73,4.243,4.378,0.0424,0.0438
105.0,8,64,8,2,20,nodes8_pods64_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,7,0.0700,92,0.9200,99,0.9900,0,0.0000,1922731.0,19227.31,4.263,4.346,0.0426,0.0435
105.0,8,64,8,4,1,nodes8_pods64_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,11,0.1100,7,0.0700,16,0.1600,66,0.6600,82,0.8200,0,0.0000,155966.0,1559.66,1.914,2.52,0.0191,0.0252
105.0,8,64,8,4,10,nodes8_pods64_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,3,0.0300,7,0.0700,46,0.4600,44,0.4400,90,0.9000,0,0.0000,620939.0,6209.39,2.331,2.774,0.0233,0.0277
105.0,8,64,8,4,20,nodes8_pods64_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,6,0.0600,61,0.6100,31,0.3100,92,0.9200,0,0.0000,943666.0,9436.66,2.411,2.915,0.0241,0.0291
105.0,16,64,4,1,1,nodes16_pods64_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,0,0.0000,98,0.9800,98,0.9800,0,0.0000,167630.0,1676.3,6.254,6.798,0.0625,0.068
105.0,16,64,4,1,10,nodes16_pods64_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1069867.0,10698.67,9.769,10.139,0.0977,0.1014
105.0,16,64,4,1,20,nodes16_pods64_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2068405.0,20684.05,10.067,10.528,0.1007,0.1053
105.0,16,64,4,2,1,nodes16_pods64_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,11,0.1100,0,0.0000,1,0.0100,88,0.8800,89,0.8900,0,0.0000,167025.0,1670.25,4.509,4.992,0.0451,0.0499
105.0,16,64,4,2,10,nodes16_pods64_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,5,0.0500,95,0.9500,100,1.0000,0,0.0000,1029748.0,10297.48,6.729,7.19,0.0673,0.0719
105.0,16,64,4,2,20,nodes16_pods64_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,12,0.1200,88,0.8800,100,1.0000,0,0.0000,1941554.0,19415.54,6.864,7.13,0.0686,0.0713
105.0,16,64,4,4,1,nodes16_pods64_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,26,0.2600,7,0.0700,15,0.1500,52,0.5200,67,0.6700,0,0.0000,150654.0,1506.54,0.876,1.172,0.0088,0.0117
105.0,16,64,4,4,10,nodes16_pods64_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,10,0.1000,52,0.5200,37,0.3700,89,0.8900,0,0.0000,601500.0,6015.0,3.151,2.906,0.0315,0.0291
105.0,16,64,4,4,20,nodes16_pods64_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,3,0.0300,9,0.0900,61,0.6100,27,0.2700,88,0.8800,0,0.0000,915687.0,9156.87,3.168,2.767,0.0317,0.0277
105.0,16,128,8,1,1,nodes16_pods128_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,83,0.8300,0,0.0000,0,0.0000,17,0.1700,17,0.1700,0,0.0000,154480.0,1544.8,0.023,0.211,0.0002,0.0021
105.0,16,128,8,1,10,nodes16_pods128_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1070562.0,10705.62,4.498,4.776,0.045,0.0478
105.0,16,128,8,1,20,nodes16_pods128_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2072485.0,20724.85,4.675,5.049,0.0467,0.0505
105.0,16,128,8,2,1,nodes16_pods128_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,29,0.2900,0,0.0000,0,0.0000,71,0.7100,71,0.7100,0,0.0000,167781.0,1677.81,0.784,1.115,0.0078,0.0111
105.0,16,128,8,2,10,nodes16_pods128_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,0,0.0000,99,0.9900,99,0.9900,0,0.0000,1065216.0,10652.16,3.728,3.982,0.0373,0.0398
105.0,16,128,8,2,20,nodes16_pods128_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,0,0.0000,99,0.9900,99,0.9900,0,0.0000,2070533.0,20705.33,3.843,4.111,0.0384,0.0411
105.0,16,128,8,4,1,nodes16_pods128_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,76,0.7600,0,0.0000,0,0.0000,24,0.2400,24,0.2400,0,0.0000,166271.0,1662.71,-0.683,-1.415,-0.0068,-0.0141
105.0,16,128,8,4,10,nodes16_pods128_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,3,0.0300,0,0.0000,6,0.0600,91,0.9100,97,0.9700,0,0.0000,1033595.0,10335.95,2.569,2.526,0.0257,0.0253
105.0,16,128,8,4,20,nodes16_pods128_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,1,0.0100,5,0.0500,92,0.9200,97,0.9700,0,0.0000,1969488.0,19694.88,2.654,2.614,0.0265,0.0261
105.0,32,128,4,1,1,nodes32_pods128_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,128256.0,1282.56,0.039,0.019,0.0004,0.0002
105.0,32,128,4,1,10,nodes32_pods128_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,7,0.0700,0,0.0000,0,0.0000,93,0.9300,93,0.9300,0,0.0000,1083597.0,10835.97,7.934,7.668,0.0793,0.0767
105.0,32,128,4,1,20,nodes32_pods128_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,6,0.0600,0,0.0000,0,0.0000,94,0.9400,94,0.9400,0,0.0000,2083578.0,20835.78,8.581,8.303,0.0858,0.083
105.0,32,128,4,2,1,nodes32_pods128_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,122692.0,1226.92,-3.045,-2.76,-0.0305,-0.0276
105.0,32,128,4,2,10,nodes32_pods128_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,5,0.0500,0,0.0000,0,0.0000,95,0.9500,95,0.9500,0,0.0000,1083833.0,10838.33,5.567,5.62,0.0557,0.0562
105.0,32,128,4,2,20,nodes32_pods128_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,6,0.0600,0,0.0000,0,0.0000,94,0.9400,94,0.9400,0,0.0000,2081808.0,20818.08,5.717,5.78,0.0572,0.0578
105.0,32,128,4,4,1,nodes32_pods128_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,132824.0,1328.24,-3.838,-3.119,-0.0384,-0.0312
105.0,32,128,4,4,10,nodes32_pods128_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,15,0.1500,2,0.0200,11,0.1100,72,0.7200,83,0.8300,0,0.0000,1015342.0,10153.42,1.886,2.06,0.0189,0.0206
